Dataset;Name;Test Index;P.1;P.2;P.3;Cost;Accuracy;Nof.Feature;Time;Feature.Selection;MAB.rewards;MAB.visits
soybean-large-preprocessed;No feature selection;1;;;;0.22908090957165514;0.876044420941301;73;0.02562117576599121;;;
soybean-large-preprocessed;DPSO (Grid Search);1;0.5;0.5;;0.13382218584064384;0.8826546800634585;36;9.054593086242676;1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1;;
soybean-large-preprocessed;DPSO (Grid Search);2;0.5;0.5;;0.1278996834319741;0.8566367001586462;29;8.952585935592651;1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0;;
soybean-large-preprocessed;DPSO (Grid Search);3;0.5;0.5;;0.13145017132342812;0.8794288736118455;33;8.91921067237854;1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0;;
soybean-large-preprocessed;DPSO (Grid Search);4;0.5;0.5;;0.1291069594256862;0.8728714965626653;35;8.945019245147705;1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1;;
soybean-large-preprocessed;DPSO (Grid Search);5;0.5;0.5;;0.13478437878052482;0.9118984664198836;35;8.880714654922485;0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0;;
soybean-large-preprocessed;DPSO (Grid Search);6;0.5;0.5;;0.12332406568967644;0.8727128503437335;28;8.843996047973633;1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0;;
soybean-large-preprocessed;DPSO (Grid Search);7;0.5;0.5;;0.12745072187651668;0.8857747223691168;27;8.9334237575531;1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0;;
soybean-large-preprocessed;DPSO (Grid Search);8;0.5;0.5;;0.13847447534463894;0.8205711263881543;39;8.922220706939697;1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1;;
soybean-large-preprocessed;DPSO (Grid Search);9;0.5;0.5;;0.13540708330013096;0.8533580116340561;30;8.920491695404053;1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1;;
soybean-large-preprocessed;DPSO (Grid Search);10;0.5;0.5;;0.1337632476836926;0.8595980962453729;29;8.943804025650024;1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0;;
soybean-large-preprocessed;DPSO (Grid Search);1;0.5;1.0;;0.1319922053273255;0.8893707033315706;35;8.91586446762085;1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1;;
soybean-large-preprocessed;DPSO (Grid Search);2;0.5;1.0;;0.13233569250161187;0.8696456901110524;30;8.872649908065796;0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0;;
soybean-large-preprocessed;DPSO (Grid Search);3;0.5;1.0;;0.1301963591054962;0.8729772607086197;27;8.896058559417725;1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0;;
soybean-large-preprocessed;DPSO (Grid Search);4;0.5;1.0;;0.13776269713060424;0.8597567424643046;35;8.958019018173218;1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0;;
soybean-large-preprocessed;DPSO (Grid Search);5;0.5;1.0;;0.13008555305230984;0.8793759915388684;32;8.87112808227539;1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1;;
soybean-large-preprocessed;DPSO (Grid Search);6;0.5;1.0;;0.13478437878052482;0.889212057112639;35;8.96595048904419;1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0;;
soybean-large-preprocessed;DPSO (Grid Search);7;0.5;1.0;;0.12923416616561512;0.8825489159175038;28;8.938955545425415;1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1;;
soybean-large-preprocessed;DPSO (Grid Search);8;0.5;1.0;;0.12651866447411306;0.8858804865150715;30;8.888131856918335;0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0;;
soybean-large-preprocessed;DPSO (Grid Search);9;0.5;1.0;;0.12440813369747111;0.9184029613960867;32;8.850199460983276;1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1;;
soybean-large-preprocessed;DPSO (Grid Search);10;0.5;1.0;;0.12023494128641085;0.9088313061872025;33;8.906212091445923;1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0;;
soybean-large-preprocessed;DPSO (Grid Search);1;0.5;1.5;;0.1312804271132907;0.8923320994182973;31;8.886285066604614;1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0;;
soybean-large-preprocessed;DPSO (Grid Search);2;0.5;1.5;;0.13348403033837292;0.8435748281332629;29;8.92564868927002;1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1;;
soybean-large-preprocessed;DPSO (Grid Search);3;0.5;1.5;;0.12426852502481103;0.8794288736118455;32;8.91693925857544;1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0;;
soybean-large-preprocessed;DPSO (Grid Search);4;0.5;1.5;;0.11013924646668065;0.8728186144896879;27;8.819089651107788;1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1;;
